blue,crop_type,green,nir,nir08,red,rededge1,rededge2,rededge3,swir16,swir22,time,unique_id,x,y
1708,cocoa,1950,3305,3532,2166,2502,2891,3186,4498,3596,2023-01-28,PIXEL_0001,0.9575263208659828,6.8998517230540575
1758,cocoa,1910,2524,3056,2102,2270,2637,2750,3211,2718,2023-02-02,PIXEL_0001,0.9575263208659828,6.8998517230540575
2116,cocoa,2292,3439,3725,2550,2859,3130,3357,4860,3821,2023-02-12,PIXEL_0001,0.9575263208659828,6.8998517230540575
2822,cocoa,3030,3874,3960,3172,3418,3611,3795,4594,3849,2023-02-17,PIXEL_0001,0.9575263208659828,6.8998517230540575
2548,cocoa,2798,3856,4263,3230,3617,3724,3874,5133,3977,2023-02-22,PIXEL_0001,0.9575263208659828,6.8998517230540575
1688,cocoa,1908,2903,3042,2242,2421,2610,2761,4101,3427,2023-03-04,PIXEL_0001,0.9575263208659828,6.8998517230540575
2316,cocoa,2444,3626,3827,2758,3100,3273,3548,5245,4756,2023-03-09,PIXEL_0001,0.9575263208659828,6.8998517230540575
1831,cocoa,2052,3200,3562,2222,2580,3045,3371,4023,3628,2023-03-29,PIXEL_0001,0.9575263208659828,6.8998517230540575
1955,cocoa,2312,3618,3776,2442,2859,3352,3525,4291,3772,2023-04-13,PIXEL_0001,0.9575263208659828,6.8998517230540575
2278,cocoa,2466,3864,4024,2642,3072,3533,3769,4456,4097,2023-04-18,PIXEL_0001,0.9575263208659828,6.8998517230540575
1916,cocoa,2162,3522,3937,2374,2715,3378,3665,4526,4128,2023-05-08,PIXEL_0001,0.9575263208659828,6.8998517230540575
2330,cocoa,2636,4416,4963,2688,3124,4295,4707,4329,3309,2023-06-12,PIXEL_0001,0.9575263208659828,6.8998517230540575
2120,cocoa,2262,3654,3827,2124,2501,3214,3475,3971,3181,2023-08-11,PIXEL_0001,0.9575263208659828,6.8998517230540575
2034,cocoa,2214,5432,6127,1912,2686,5093,5987,4461,3074,2023-09-25,PIXEL_0001,0.9575263208659828,6.8998517230540575
1402,cocoa,1749,4135,4603,1554,2221,3969,4395,3483,2407,2023-09-30,PIXEL_0001,0.9575263208659828,6.8998517230540575
1602,cocoa,1892,3906,4428,1723,2406,3871,4285,3434,2375,2023-10-20,PIXEL_0001,0.9575263208659828,6.8998517230540575
1556,cocoa,1925,4521,4962,1652,2413,4229,4609,3815,2635,2023-10-30,PIXEL_0001,0.9575263208659828,6.8998517230540575
1586,cocoa,1970,4423,4845,1712,2420,4000,4488,3620,2614,2023-11-04,PIXEL_0001,0.9575263208659828,6.8998517230540575
2854,cocoa,2990,5123,5514,2874,3525,4748,5250,4794,3552,2023-11-14,PIXEL_0001,0.9575263208659828,6.8998517230540575
1560,cocoa,1845,3784,4208,1736,2383,3578,3879,3621,2594,2023-11-29,PIXEL_0001,0.9575263208659828,6.8998517230540575
1568,cocoa,1866,3592,3927,1830,2330,3293,3576,3712,2710,2023-12-09,PIXEL_0001,0.9575263208659828,6.8998517230540575
1766,cocoa,1990,3736,4002,2024,2518,3335,3669,3876,2963,2023-12-14,PIXEL_0001,0.9575263208659828,6.8998517230540575
1618,cocoa,1849,3568,3811,1962,2439,3214,3461,3939,2939,2023-12-19,PIXEL_0001,0.9575263208659828,6.8998517230540575
1660,cocoa,1908,3574,3829,2046,2485,3151,3467,4000,3048,2023-12-24,PIXEL_0001,0.9575263208659828,6.8998517230540575
1637,cocoa,1932,3591,3875,2172,2614,3204,3501,4179,3077,2023-12-29,PIXEL_0001,0.9575263208659828,6.8998517230540575
495,cocoa,701,2056,2246,690,1016,1723,1977,2268,1440,2022-01-03,PIXEL_0002,1.0544905640302111,7.1914116521369005
520,cocoa,719,2054,2240,703,1023,1723,1974,2262,1438,2022-01-03,PIXEL_0002,1.0544905640302111,7.1914116521369005
503,cocoa,816,2174,2450,881,1259,1854,2071,2527,1540,2022-01-08,PIXEL_0002,1.0544905640302111,7.1914116521369005
485,cocoa,805,2176,2450,874,1255,1854,2073,2530,1542,2022-01-08,PIXEL_0002,1.0544905640302111,7.1914116521369005
508,cocoa,750,2230,2261,913,1289,1684,1998,2851,1918,2022-01-23,PIXEL_0002,1.0544905640302111,7.1914116521369005
477,cocoa,729,2222,2261,900,1285,1683,1999,2853,1920,2022-01-23,PIXEL_0002,1.0544905640302111,7.1914116521369005
1941,cocoa,2070,2648,2726,2176,2370,2449,2526,3168,2785,2022-01-28,PIXEL_0002,1.0544905640302111,7.1914116521369005
1898,cocoa,2044,2642,2719,2164,2360,2436,2513,3179,2791,2022-01-28,PIXEL_0002,1.0544905640302111,7.1914116521369005
2046,cocoa,2252,3320,3409,2584,2898,3027,3172,4066,3357,2022-02-07,PIXEL_0002,1.0544905640302111,7.1914116521369005
2136,cocoa,2320,3326,3401,2628,2924,3034,3169,4055,3352,2022-02-07,PIXEL_0002,1.0544905640302111,7.1914116521369005
1852,cocoa,2010,3010,3141,2326,2560,2659,2934,4133,3593,2022-02-12,PIXEL_0002,1.0544905640302111,7.1914116521369005
1777,cocoa,1962,3010,3142,2310,2548,2638,2927,4168,3614,2022-02-12,PIXEL_0002,1.0544905640302111,7.1914116521369005
1560,cocoa,1820,2842,3004,2166,2453,2513,2763,4129,3513,2022-02-17,PIXEL_0002,1.0544905640302111,7.1914116521369005
1576,cocoa,1827,2842,3002,2170,2454,2515,2764,4115,3506,2022-02-17,PIXEL_0002,1.0544905640302111,7.1914116521369005
2036,cocoa,2176,3202,3275,2466,2709,2872,3141,4144,3588,2022-02-22,PIXEL_0002,1.0544905640302111,7.1914116521369005
2038,cocoa,2178,3200,3271,2466,2708,2870,3135,4135,3583,2022-02-22,PIXEL_0002,1.0544905640302111,7.1914116521369005
1593,cocoa,1732,2188,2306,1922,2066,2046,2160,2817,2359,2022-02-27,PIXEL_0002,1.0544905640302111,7.1914116521369005
1628,cocoa,1822,2828,3075,2060,2384,2596,2799,4267,3725,2022-03-04,PIXEL_0002,1.0544905640302111,7.1914116521369005
1602,cocoa,1808,2830,3074,2052,2382,2595,2796,4276,3734,2022-03-04,PIXEL_0002,1.0544905640302111,7.1914116521369005
1926,cocoa,2136,3116,3463,2182,2526,2996,3203,3677,2911,2022-03-29,PIXEL_0002,1.0544905640302111,7.1914116521369005
1890,cocoa,2102,3006,3398,2162,2514,2914,3119,3720,2915,2022-03-29,PIXEL_0002,1.0544905640302111,7.1914116521369005
1942,cocoa,2274,4700,5124,2014,2717,4433,4855,3683,2641,2022-05-08,PIXEL_0002,1.0544905640302111,7.1914116521369005
1862,cocoa,2244,4768,5214,1980,2717,4498,4921,3704,2640,2022-05-08,PIXEL_0002,1.0544905640302111,7.1914116521369005
1425,cocoa,1724,4086,4545,1464,2147,3817,4342,3083,2052,2022-05-13,PIXEL_0002,1.0544905640302111,7.1914116521369005
1427,cocoa,1726,4095,4552,1467,2151,3825,4351,3090,2055,2022-05-13,PIXEL_0002,1.0544905640302111,7.1914116521369005
1285,cocoa,1786,4651,5155,1573,2404,4249,4665,3430,2306,2022-05-18,PIXEL_0002,1.0544905640302111,7.1914116521369005
1434,cocoa,1880,4595,5105,1659,2427,4233,4649,3429,2312,2022-05-18,PIXEL_0002,1.0544905640302111,7.1914116521369005
1567,cocoa,1874,4264,4922,1638,2408,3986,4453,3563,2486,2022-05-23,PIXEL_0002,1.0544905640302111,7.1914116521369005
1495,cocoa,1838,4302,4981,1608,2409,3998,4463,3577,2486,2022-05-23,PIXEL_0002,1.0544905640302111,7.1914116521369005
1548,cocoa,1752,3545,3651,1746,2212,3062,3372,3740,2987,2022-06-02,PIXEL_0002,1.0544905640302111,7.1914116521369005
1541,cocoa,1748,3547,3651,1744,2211,3059,3374,3737,2985,2022-06-02,PIXEL_0002,1.0544905640302111,7.1914116521369005
1618,cocoa,1888,4241,4297,1704,2403,3406,3823,3952,2926,2022-06-17,PIXEL_0002,1.0544905640302111,7.1914116521369005
1609,cocoa,1882,4232,4288,1700,2397,3407,3825,3944,2924,2022-06-17,PIXEL_0002,1.0544905640302111,7.1914116521369005
1416,cocoa,1646,3552,3667,1612,2163,2925,3354,3442,2555,2022-06-22,PIXEL_0002,1.0544905640302111,7.1914116521369005
1391,cocoa,1453,1962,2041,1419,1637,1896,2038,1838,1640,2022-08-11,PIXEL_0002,1.0544905640302111,7.1914116521369005
1955,cocoa,2030,2628,2888,1818,2066,2651,2826,2269,1796,2022-08-21,PIXEL_0002,1.0544905640302111,7.1914116521369005
1810,cocoa,2112,4208,4583,1782,2224,3808,4287,3309,2441,2022-09-25,PIXEL_0002,1.0544905640302111,7.1914116521369005
1833,cocoa,2116,4168,4535,1799,2238,3785,4257,3300,2437,2022-09-25,PIXEL_0002,1.0544905640302111,7.1914116521369005
2704,cocoa,2642,5044,5796,2014,2712,4872,5546,3813,2587,2022-10-10,PIXEL_0002,1.0544905640302111,7.1914116521369005
2692,cocoa,2636,5028,5781,2015,2717,4864,5534,3813,2592,2022-10-10,PIXEL_0002,1.0544905640302111,7.1914116521369005
1570,cocoa,1899,4263,4749,1656,2447,4095,4566,3378,2376,2022-10-20,PIXEL_0002,1.0544905640302111,7.1914116521369005
1529,cocoa,1884,4312,4802,1642,2454,4134,4607,3395,2382,2022-10-20,PIXEL_0002,1.0544905640302111,7.1914116521369005
1570,cocoa,1860,4044,4424,1674,2373,3759,4111,3512,2566,2022-10-30,PIXEL_0002,1.0544905640302111,7.1914116521369005
1607,cocoa,1874,4004,4380,1686,2366,3731,4092,3492,2557,2022-10-30,PIXEL_0002,1.0544905640302111,7.1914116521369005
1526,cocoa,1762,3824,4044,1599,2269,3448,3845,3441,2550,2022-11-09,PIXEL_0002,1.0544905640302111,7.1914116521369005
1522,cocoa,1744,3719,3996,1604,2169,3344,3736,3152,2307,2022-11-19,PIXEL_0002,1.0544905640302111,7.1914116521369005
1521,cocoa,1741,3717,3998,1605,2169,3345,3735,3150,2307,2022-11-19,PIXEL_0002,1.0544905640302111,7.1914116521369005
1553,cocoa,1752,3622,3879,1694,2251,3266,3606,3642,2783,2022-11-29,PIXEL_0002,1.0544905640302111,7.1914116521369005
1547,cocoa,1749,3623,3878,1692,2249,3265,3605,3645,2779,2022-11-29,PIXEL_0002,1.0544905640302111,7.1914116521369005
1481,cocoa,1730,3542,3827,1634,2215,3236,3526,3648,2672,2022-12-04,PIXEL_0002,1.0544905640302111,7.1914116521369005
1514,cocoa,1749,3519,3802,1651,2221,3218,3509,3637,2670,2022-12-04,PIXEL_0002,1.0544905640302111,7.1914116521369005
1561,cocoa,1777,3376,3643,1788,2260,3062,3328,3749,2853,2022-12-14,PIXEL_0002,1.0544905640302111,7.1914116521369005
1582,cocoa,1781,3358,3623,1795,2258,3044,3312,3735,2848,2022-12-14,PIXEL_0002,1.0544905640302111,7.1914116521369005
1574,cocoa,1730,3254,3431,1786,2221,2845,3121,3843,3032,2022-12-19,PIXEL_0002,1.0544905640302111,7.1914116521369005
1568,cocoa,1726,3247,3424,1785,2218,2841,3113,3838,3029,2022-12-19,PIXEL_0002,1.0544905640302111,7.1914116521369005
1652,cocoa,1862,3304,3409,2028,2436,2867,3165,4076,3277,2022-12-29,PIXEL_0002,1.0544905640302111,7.1914116521369005
1660,cocoa,1866,3295,3400,2028,2431,2863,3157,4065,3271,2022-12-29,PIXEL_0002,1.0544905640302111,7.1914116521369005
1914,cocoa,2210,3508,3667,2440,2814,3173,3384,4266,3343,2023-01-03,PIXEL_0002,1.0544905640302111,7.1914116521369005
1824,cocoa,2158,3532,3692,2422,2811,3179,3394,4289,3351,2023-01-03,PIXEL_0002,1.0544905640302111,7.1914116521369005
1758,cocoa,1948,3446,3597,2226,2602,3025,3278,4272,3458,2023-01-08,PIXEL_0002,1.0544905640302111,7.1914116521369005
1871,cocoa,2026,3400,3543,2260,2608,3004,3241,4203,3435,2023-01-08,PIXEL_0002,1.0544905640302111,7.1914116521369005
1572,cocoa,1796,3316,3427,2192,2489,2850,3133,4314,3553,2023-01-18,PIXEL_0002,1.0544905640302111,7.1914116521369005
1658,cocoa,1853,3280,3387,2206,2486,2835,3104,4271,3534,2023-01-18,PIXEL_0002,1.0544905640302111,7.1914116521369005
1648,cocoa,1830,3092,3349,2092,2458,2761,2975,4469,3694,2023-02-02,PIXEL_0002,1.0544905640302111,7.1914116521369005
1585,cocoa,1791,3115,3377,2078,2457,2771,2992,4511,3715,2023-02-02,PIXEL_0002,1.0544905640302111,7.1914116521369005
1842,cocoa,2054,3294,3549,2330,2694,2962,3161,4918,4024,2023-02-12,PIXEL_0002,1.0544905640302111,7.1914116521369005
1868,cocoa,2072,3297,3547,2338,2704,2973,3177,4923,4017,2023-02-12,PIXEL_0002,1.0544905640302111,7.1914116521369005
1822,cocoa,2340,3552,3900,2746,3134,3358,3589,4837,3852,2023-02-22,PIXEL_0002,1.0544905640302111,7.1914116521369005
1633,cocoa,1875,3118,3439,2152,2576,2823,3077,4662,3839,2023-03-04,PIXEL_0002,1.0544905640302111,7.1914116521369005
1636,cocoa,1876,3108,3434,2148,2571,2821,3071,4660,3838,2023-03-04,PIXEL_0002,1.0544905640302111,7.1914116521369005
1720,cocoa,1949,3534,3841,2056,2512,3225,3495,4711,3841,2023-03-14,PIXEL_0002,1.0544905640302111,7.1914116521369005
1730,cocoa,1956,3524,3833,2058,2512,3217,3485,4705,3841,2023-03-14,PIXEL_0002,1.0544905640302111,7.1914116521369005
1900,cocoa,2054,3580,3645,2176,2500,3010,3314,4277,3646,2023-03-29,PIXEL_0002,1.0544905640302111,7.1914116521369005
1734,cocoa,1934,3634,3672,2132,2463,2957,3278,4348,3683,2023-03-29,PIXEL_0002,1.0544905640302111,7.1914116521369005
1719,cocoa,2112,4208,4284,2166,2738,3664,3941,4403,3622,2023-04-13,PIXEL_0002,1.0544905640302111,7.1914116521369005
1783,cocoa,2140,4208,4303,2160,2728,3691,3972,4360,3599,2023-04-13,PIXEL_0002,1.0544905640302111,7.1914116521369005
1912,cocoa,2194,4343,4389,2198,2680,3636,4049,4279,3541,2023-04-18,PIXEL_0002,1.0544905640302111,7.1914116521369005
1944,cocoa,2220,4343,4389,2216,2696,3643,4053,4275,3535,2023-04-18,PIXEL_0002,1.0544905640302111,7.1914116521369005
1908,cocoa,2300,4796,4752,2196,2880,4115,4468,4611,3789,2023-04-23,PIXEL_0002,1.0544905640302111,7.1914116521369005
1889,cocoa,2280,4803,4758,2184,2879,4117,4475,4614,3789,2023-04-23,PIXEL_0002,1.0544905640302111,7.1914116521369005
1542,cocoa,1778,3751,3927,1636,2262,3436,3629,3657,2885,2023-05-08,PIXEL_0002,1.0544905640302111,7.1914116521369005
1418,cocoa,1701,3795,3962,1576,2253,3441,3609,3706,2909,2023-05-08,PIXEL_0002,1.0544905640302111,7.1914116521369005
2148,cocoa,2496,4992,5500,2308,3038,4609,5182,4076,3039,2023-06-07,PIXEL_0002,1.0544905640302111,7.1914116521369005
1402,cocoa,1791,4452,4665,1521,2239,4083,4461,3350,2198,2023-06-12,PIXEL_0002,1.0544905640302111,7.1914116521369005
1425,cocoa,1800,4420,4646,1532,2240,4068,4450,3347,2200,2023-06-12,PIXEL_0002,1.0544905640302111,7.1914116521369005
1822,cocoa,2076,3902,4384,1886,2550,3816,4109,3492,2396,2023-09-10,PIXEL_0002,1.0544905640302111,7.1914116521369005
1773,cocoa,2046,4064,4949,1720,2538,4249,4585,3582,2375,2023-09-20,PIXEL_0002,1.0544905640302111,7.1914116521369005
1802,cocoa,2060,4067,4936,1734,2542,4239,4578,3582,2378,2023-09-20,PIXEL_0002,1.0544905640302111,7.1914116521369005
1446,cocoa,1696,3577,4368,1522,2202,3895,4177,3155,2113,2023-09-30,PIXEL_0002,1.0544905640302111,7.1914116521369005
1432,cocoa,1686,3579,4379,1516,2200,3901,4179,3158,2116,2023-09-30,PIXEL_0002,1.0544905640302111,7.1914116521369005
1758,cocoa,2076,4780,5579,1764,2656,4706,5152,3640,2345,2023-10-20,PIXEL_0002,1.0544905640302111,7.1914116521369005
1854,cocoa,2118,4704,5463,1806,2651,4630,5079,3623,2346,2023-10-20,PIXEL_0002,1.0544905640302111,7.1914116521369005
1480,cocoa,1751,4094,4644,1490,2188,3826,4439,3097,2076,2023-10-25,PIXEL_0002,1.0544905640302111,7.1914116521369005
1505,cocoa,1766,4087,4616,1506,2189,3808,4413,3088,2076,2023-10-25,PIXEL_0002,1.0544905640302111,7.1914116521369005
1468,cocoa,1790,4247,4686,1536,2333,3921,4470,3120,2099,2023-11-04,PIXEL_0002,1.0544905640302111,7.1914116521369005
1478,cocoa,1796,4239,4682,1546,2332,3928,4468,3125,2101,2023-11-04,PIXEL_0002,1.0544905640302111,7.1914116521369005
1486,cocoa,1778,4176,4492,1543,2321,3885,4310,3171,2164,2023-11-14,PIXEL_0002,1.0544905640302111,7.1914116521369005
1512,cocoa,1792,4151,4454,1558,2312,3844,4271,3158,2153,2023-11-14,PIXEL_0002,1.0544905640302111,7.1914116521369005
1448,cocoa,1734,3834,4274,1557,2249,3581,3985,3131,2116,2023-11-29,PIXEL_0002,1.0544905640302111,7.1914116521369005
1435,cocoa,1727,3839,4277,1552,2245,3582,3984,3134,2116,2023-11-29,PIXEL_0002,1.0544905640302111,7.1914116521369005
1454,cocoa,1720,3700,3968,1578,2192,3343,3647,3180,2191,2023-12-09,PIXEL_0002,1.0544905640302111,7.1914116521369005
1463,cocoa,1724,3692,3952,1583,2192,3330,3639,3172,2187,2023-12-09,PIXEL_0002,1.0544905640302111,7.1914116521369005
1444,cocoa,1690,3487,3655,1672,2188,3102,3346,3312,2416,2023-12-19,PIXEL_0002,1.0544905640302111,7.1914116521369005
1441,cocoa,1688,3481,3647,1673,2186,3096,3343,3309,2414,2023-12-19,PIXEL_0002,1.0544905640302111,7.1914116521369005
1459,cocoa,1697,3377,3387,1715,2193,2909,3169,3406,2466,2023-12-24,PIXEL_0002,1.0544905640302111,7.1914116521369005
1528,cocoa,1739,3358,3372,1745,2204,2902,3155,3383,2463,2023-12-24,PIXEL_0002,1.0544905640302111,7.1914116521369005
1546,cocoa,1795,3358,3511,1930,2385,3020,3257,3661,2677,2023-12-29,PIXEL_0002,1.0544905640302111,7.1914116521369005
1496,cocoa,1761,3360,3513,1912,2375,3014,3254,3669,2678,2023-12-29,PIXEL_0002,1.0544905640302111,7.1914116521369005
615,cocoa,804,2396,2434,871,1238,1918,2163,2621,1715,2022-01-03,PIXEL_0003,0.9477532118277356,7.169249767181851
634,cocoa,819,2380,2417,881,1239,1909,2154,2614,1715,2022-01-03,PIXEL_0003,0.9477532118277356,7.169249767181851
565,cocoa,859,2402,2566,1007,1362,1990,2186,2620,1669,2022-01-08,PIXEL_0003,0.9477532118277356,7.169249767181851
552,cocoa,854,2396,2571,1003,1360,1998,2197,2628,1668,2022-01-08,PIXEL_0003,0.9477532118277356,7.169249767181851
596,cocoa,865,2346,2578,1034,1412,1936,2215,2802,1808,2022-01-18,PIXEL_0003,0.9477532118277356,7.169249767181851
541,cocoa,838,2372,2603,1021,1425,1958,2236,2825,1820,2022-01-18,PIXEL_0003,0.9477532118277356,7.169249767181851
608,cocoa,883,2502,2523,1096,1467,1997,2270,2932,2006,2022-01-23,PIXEL_0003,0.9477532118277356,7.169249767181851
588,cocoa,869,2508,2527,1092,1466,1999,2273,2936,2009,2022-01-23,PIXEL_0003,0.9477532118277356,7.169249767181851
1936,cocoa,2064,3188,3268,2222,2510,2844,2973,3668,2805,2022-01-28,PIXEL_0003,0.9477532118277356,7.169249767181851
1898,cocoa,2042,3208,3286,2212,2509,2853,2985,3687,2813,2022-01-28,PIXEL_0003,0.9477532118277356,7.169249767181851
1747,cocoa,1936,3480,3454,2258,2439,2886,3193,3879,2995,2022-02-02,PIXEL_0003,0.9477532118277356,7.169249767181851
1762,cocoa,1944,3458,3443,2254,2441,2884,3184,3863,2993,2022-02-02,PIXEL_0003,0.9477532118277356,7.169249767181851
1602,cocoa,1891,3278,3494,2216,2533,2892,3174,4146,3172,2022-02-17,PIXEL_0003,0.9477532118277356,7.169249767181851
1614,cocoa,1898,3258,3489,2216,2539,2894,3169,4151,3177,2022-02-17,PIXEL_0003,0.9477532118277356,7.169249767181851
2098,cocoa,2232,3364,3527,2450,2717,3026,3270,3915,3161,2022-02-22,PIXEL_0003,0.9477532118277356,7.169249767181851
2106,cocoa,2236,3370,3532,2456,2723,3029,3276,3915,3168,2022-02-22,PIXEL_0003,0.9477532118277356,7.169249767181851
1636,cocoa,1812,3014,3250,2052,2321,2699,2945,3935,3184,2022-03-04,PIXEL_0003,0.9477532118277356,7.169249767181851
1612,cocoa,1800,3016,3258,2042,2319,2696,2944,3935,3190,2022-03-04,PIXEL_0003,0.9477532118277356,7.169249767181851
1706,cocoa,1939,3306,3553,2124,2487,3094,3375,4092,3316,2022-03-14,PIXEL_0003,0.9477532118277356,7.169249767181851
1652,cocoa,1908,3325,3562,2116,2475,3093,3377,4100,3315,2022-03-14,PIXEL_0003,0.9477532118277356,7.169249767181851
1711,cocoa,2050,4200,4497,1980,2588,3766,4133,3800,2798,2022-03-29,PIXEL_0003,0.9477532118277356,7.169249767181851
1545,cocoa,1958,4288,4609,1918,2584,3846,4235,3866,2808,2022-03-29,PIXEL_0003,0.9477532118277356,7.169249767181851
1682,cocoa,2174,6160,6302,1748,2770,5361,5989,3820,2485,2022-05-08,PIXEL_0003,0.9477532118277356,7.169249767181851
1576,cocoa,2146,6372,6478,1695,2788,5508,6139,3843,2478,2022-05-08,PIXEL_0003,0.9477532118277356,7.169249767181851
1401,cocoa,1836,5124,4998,1388,2244,4244,5047,3159,2111,2022-05-13,PIXEL_0003,0.9477532118277356,7.169249767181851
1401,cocoa,1836,5111,4989,1388,2242,4236,5041,3157,2110,2022-05-13,PIXEL_0003,0.9477532118277356,7.169249767181851
1126,cocoa,1820,5412,5434,1425,2421,4587,5140,3340,2218,2022-05-18,PIXEL_0003,0.9477532118277356,7.169249767181851
1283,cocoa,1884,5260,5351,1506,2425,4532,5082,3328,2214,2022-05-18,PIXEL_0003,0.9477532118277356,7.169249767181851
1469,cocoa,1735,3916,4272,1581,2189,3544,4063,3285,2285,2022-06-02,PIXEL_0003,0.9477532118277356,7.169249767181851
1464,cocoa,1735,3931,4287,1583,2193,3556,4076,3299,2289,2022-06-02,PIXEL_0003,0.9477532118277356,7.169249767181851
1394,cocoa,1825,4740,4801,1479,2288,4104,4643,3215,2143,2022-06-22,PIXEL_0003,0.9477532118277356,7.169249767181851
1626,cocoa,1896,4872,4697,1664,2403,3780,4505,3790,2694,2022-08-11,PIXEL_0003,0.9477532118277356,7.169249767181851
1601,cocoa,1940,5044,4861,1594,2437,4229,4580,3932,2832,2022-09-10,PIXEL_0003,0.9477532118277356,7.169249767181851
2058,cocoa,2001,4684,4956,1612,2463,4177,4812,3404,2682,2022-10-10,PIXEL_0003,0.9477532118277356,7.169249767181851
2064,cocoa,2008,4676,4949,1623,2470,4176,4805,3406,2687,2022-10-10,PIXEL_0003,0.9477532118277356,7.169249767181851
1522,cocoa,1838,4772,4847,1516,2272,3950,4639,3163,2199,2022-10-30,PIXEL_0003,0.9477532118277356,7.169249767181851
1565,cocoa,1858,4700,4793,1542,2275,3922,4591,3157,2199,2022-10-30,PIXEL_0003,0.9477532118277356,7.169249767181851
1552,cocoa,1803,4016,4052,1670,2335,3350,3862,3310,2379,2022-11-29,PIXEL_0003,0.9477532118277356,7.169249767181851
1547,cocoa,1800,4016,4052,1670,2332,3350,3868,3306,2377,2022-11-29,PIXEL_0003,0.9477532118277356,7.169249767181851
3570,cocoa,3752,5015,5342,3720,4211,4877,5090,5110,3869,2022-12-04,PIXEL_0003,0.9477532118277356,7.169249767181851
